DisplayName,MAC Addr,RSSI,Last Updated,iBeacon flag,Proximity UUID,major,minor,TxPower
Flex,F5:43:D9:EB:19:0B,-79,2014-05-31 06:41:20.533,false,,0,0,0
Force,E6:2C:E1:EA:26:B5,-80,2014-05-31 06:41:25.468,false,,0,0,0
Unknown,9C:A1:34:18:14:74,-83,2014-05-31 06:41:25.396,false,,0,0,0
Unknown,9C:A1:34:1E:F9:C1,-84,2014-05-31 06:41:25.865,false,,0,0,0
One,E6:99:EA:CB:B7:F3,-85,2014-05-31 06:41:21.674,false,,0,0,0
Kontakt,C4:02:3E:D6:FB:17,-87,2014-05-31 06:41:23.826,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,29889,5977,-77
Kontakt,E8:66:CA:46:29:D9,-87,2014-05-31 06:41:25.939,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,49822,25644,-77
Kontakt,C0:80:69:E4:96:80,-91,2014-05-31 06:41:23.636,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,58440,31656,-77
Kontakt,C0:36:4C:60:FB:7A,-93,2014-05-31 06:41:25.148,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,30854,62232,-77
Kontakt,CB:42:69:CE:8C:14,-96,2014-05-31 06:41:22.856,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,56762,64482,-77
