DisplayName,MAC Addr,RSSI,Last Updated,iBeacon flag,Proximity UUID,major,minor,TxPower
Flex,F5:43:D9:EB:19:0B,-87,2014-05-31 06:32:19.297,false,,0,0,0
Kontakt,C0:80:69:E4:96:80,-90,2014-05-31 06:32:27.195,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,58440,31656,-77
Kontakt,C0:36:4C:60:FB:7A,-90,2014-05-31 06:32:24.554,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,30854,62232,-77
One,E6:99:EA:CB:B7:F3,-91,2014-05-31 06:32:26.054,false,,0,0,0
Force,C6:BD:6C:38:71:A8,-92,2014-05-31 06:32:25.673,false,,0,0,0
Kontakt,C4:02:3E:D6:FB:17,-94,2014-05-31 06:32:27.553,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,29889,5977,-77
Kontakt,E8:66:CA:46:29:D9,-94,2014-05-31 06:32:28.119,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,49822,25644,-77
Kontakt,CB:42:69:CE:8C:14,-97,2014-05-31 06:32:27.019,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,56762,64482,-77
