DisplayName,MAC Addr,RSSI,Last Updated,iBeacon flag,Proximity UUID,major,minor,TxPower
Kontakt,C0:80:69:E4:96:80,-77,2014-05-31 09:22:44.089,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,58440,31656,-77
Kontakt,E8:66:CA:46:29:D9,-78,2014-05-31 09:22:44.353,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,49822,25644,-77
Kontakt,C0:36:4C:60:FB:7A,-78,2014-05-31 09:22:43.619,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,30854,62232,-77
Kontakt,CB:42:69:CE:8C:14,-78,2014-05-31 09:22:44.490,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,56762,64482,-77
Unknown,9C:A1:34:18:14:74,-86,2014-05-31 09:22:44.404,false,,0,0,0
Kontakt,C4:02:3E:D6:FB:17,-88,2014-05-31 09:22:44.489,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,29889,5977,-77
Flex,F5:43:D9:EB:19:0B,-90,2014-05-31 09:22:16.525,false,,0,0,0
One,E6:99:EA:CB:B7:F3,-90,2014-05-31 09:22:44.195,false,,0,0,0
Force,C2:84:8D:3F:ED:15,-91,2014-05-31 09:22:43.715,false,,0,0,0
Force,C6:BD:6C:38:71:A8,-94,2014-05-31 09:22:42.287,false,,0,0,0
