DisplayName,MAC Addr,RSSI,Last Updated,iBeacon flag,Proximity UUID,major,minor,TxPower
Kontakt,C4:02:3E:D6:FB:17,-61,2014-05-31 09:22:22.862,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,29889,5977,-77
Kontakt,C0:36:4C:60:FB:7A,-63,2014-05-31 09:22:23.009,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,30854,62232,-77
Kontakt,CB:42:69:CE:8C:14,-64,2014-05-31 09:22:23.193,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,56762,64482,-77
Kontakt,C0:80:69:E4:96:80,-67,2014-05-31 09:22:22.862,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,58440,31656,-77
Kontakt,E8:66:CA:46:29:D9,-73,2014-05-31 09:22:23.136,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,49822,25644,-77
Force,C6:BD:6C:38:71:A8,-77,2014-05-31 09:22:22.761,false,,0,0,0
One,E6:99:EA:CB:B7:F3,-84,2014-05-31 09:22:22.149,false,,0,0,0
Unknown,9C:A1:34:18:14:74,-87,2014-05-31 09:22:22.150,false,,0,0,0
Flex,F5:43:D9:EB:19:0B,-90,2014-05-31 09:22:16.525,false,,0,0,0
Force,C2:84:8D:3F:ED:15,-96,2014-05-31 09:22:22.903,false,,0,0,0
