DisplayName,MAC Addr,RSSI,Last Updated,iBeacon flag,Proximity UUID,major,minor,TxPower
Kontakt,C4:02:3E:D6:FB:17,-63,2014-05-31 09:24:22.561,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,29889,5977,-77
Kontakt,C0:80:69:E4:96:80,-67,2014-05-31 09:24:22.413,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,58440,31656,-77
Kontakt,E8:66:CA:46:29:D9,-68,2014-05-31 09:24:22.686,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,49822,25644,-77
Kontakt,C0:36:4C:60:FB:7A,-70,2014-05-31 09:24:22.516,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,30854,62232,-77
Kontakt,CB:42:69:CE:8C:14,-70,2014-05-31 09:24:22.795,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,56762,64482,-77
Unknown,9C:A1:34:18:14:74,-73,2014-05-31 09:24:22.128,false,,0,0,0
Force,C6:BD:6C:38:71:A8,-76,2014-05-31 09:24:21.934,false,,0,0,0
Force,C2:84:8D:3F:ED:15,-77,2014-05-31 09:24:22.560,false,,0,0,0
One,E6:99:EA:CB:B7:F3,-83,2014-05-31 09:24:21.933,false,,0,0,0
Flex,F5:43:D9:EB:19:0B,-91,2014-05-31 09:24:22.474,false,,0,0,0
