DisplayName,MAC Addr,RSSI,Last Updated,iBeacon flag,Proximity UUID,major,minor,TxPower
Kontakt,C4:02:3E:D6:FB:17,-74,2014-05-31 06:41:35.918,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,29889,5977,-77
Kontakt,E8:66:CA:46:29:D9,-76,2014-05-31 06:41:36.206,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,49822,25644,-77
Unknown,9C:A1:34:18:14:74,-79,2014-05-31 06:41:35.068,false,,0,0,0
Kontakt,C0:80:69:E4:96:80,-81,2014-05-31 06:41:35.690,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,58440,31656,-77
Kontakt,C0:36:4C:60:FB:7A,-81,2014-05-31 06:41:36.151,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,30854,62232,-77
Flex,F5:43:D9:EB:19:0B,-83,2014-05-31 06:41:36.086,false,,0,0,0
Kontakt,CB:42:69:CE:8C:14,-86,2014-05-31 06:41:35.634,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,56762,64482,-77
One,E6:99:EA:CB:B7:F3,-86,2014-05-31 06:41:30.765,false,,0,0,0
Kontakt,CB:42:69:CE:8C:14,-90,2014-05-31 06:41:36.375,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,56762,64482,-77
Force,E6:2C:E1:EA:26:B5,-95,2014-05-31 06:41:34.487,false,,0,0,0
