DisplayName,MAC Addr,RSSI,Last Updated,iBeacon flag,Proximity UUID,major,minor,TxPower
Kontakt,C0:36:4C:60:FB:7A,-65,2014-05-31 09:33:48.711,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,30854,62232,-77
Kontakt,CB:42:69:CE:8C:14,-66,2014-05-31 09:33:48.419,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,56762,64482,-77
Kontakt,E8:66:CA:46:29:D9,-70,2014-05-31 09:33:48.634,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,49822,25644,-77
Kontakt,E8:66:CA:46:29:D9,-70,2014-05-31 09:33:48.634,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,49822,25644,-77
Kontakt,C0:80:69:E4:96:80,-71,2014-05-31 09:33:48.563,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,58440,31656,-77
Force,C2:84:8D:3F:ED:15,-73,2014-05-31 09:33:48.076,false,,0,0,0
Unknown,9C:A1:34:18:14:74,-75,2014-05-31 09:33:48.831,false,,0,0,0
Force,C6:BD:6C:38:71:A8,-82,2014-05-31 09:33:47.500,false,,0,0,0
Flex,F5:43:D9:EB:19:0B,-86,2014-05-31 09:33:22.272,false,,0,0,0
One,E6:99:EA:CB:B7:F3,-93,2014-05-31 09:33:48.219,false,,0,0,0
