DisplayName,MAC Addr,RSSI,Last Updated,iBeacon flag,Proximity UUID,major,minor,TxPower
Kontakt,E8:66:CA:46:29:D9,-67,2014-05-31 09:25:17.074,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,49822,25644,-77
Kontakt,C0:80:69:E4:96:80,-69,2014-05-31 09:25:16.979,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,58440,31656,-77
Kontakt,C4:02:3E:D6:FB:17,-70,2014-05-31 09:25:17.253,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,29889,5977,-77
Kontakt,C0:80:69:E4:96:80,-71,2014-05-31 09:25:17.359,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,58440,31656,-77
Kontakt,C0:36:4C:60:FB:7A,-74,2014-05-31 09:25:17.189,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,30854,62232,-77
Force,C2:84:8D:3F:ED:15,-79,2014-05-31 09:25:16.686,false,,0,0,0
Unknown,9C:A1:34:18:14:74,-80,2014-05-31 09:25:17.299,false,,0,0,0
One,E6:99:EA:CB:B7:F3,-81,2014-05-31 09:25:14.950,false,,0,0,0
Force,C6:BD:6C:38:71:A8,-88,2014-05-31 09:25:16.471,false,,0,0,0
Flex,F5:43:D9:EB:19:0B,-91,2014-05-31 09:25:14.457,false,,0,0,0
