DisplayName,MAC Addr,RSSI,Last Updated,iBeacon flag,Proximity UUID,major,minor,TxPower
Unknown,9C:A1:34:1E:F9:C1,-94,2014-05-31 06:41:05.553,false,,0,0,0
Unknown,9C:A1:34:18:14:74,-96,2014-05-31 06:40:57.306,false,,0,0,0
Kontakt,CB:42:69:CE:8C:14,-96,2014-05-31 06:40:49.864,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,56762,64482,-77
Kontakt,C4:02:3E:D6:FB:17,-96,2014-05-31 06:41:00.399,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,29889,5977,-77
Force,E6:2C:E1:EA:26:B5,-97,2014-05-31 06:40:48.986,false,,0,0,0
Kontakt,C0:80:69:E4:96:80,-97,2014-05-31 06:40:53.476,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,58440,31656,-77
