DisplayName,MAC Addr,RSSI,Last Updated,iBeacon flag,Proximity UUID,major,minor,TxPower
Kontakt,C4:02:3E:D6:FB:17,-59,2014-05-31 09:33:38.586,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,29889,5977,-77
Kontakt,E8:66:CA:46:29:D9,-65,2014-05-31 09:33:39.088,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,49822,25644,-77
Kontakt,C0:80:69:E4:96:80,-66,2014-05-31 09:33:39.004,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,58440,31656,-77
Kontakt,C0:36:4C:60:FB:7A,-67,2014-05-31 09:33:38.806,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,30854,62232,-77
Kontakt,CB:42:69:CE:8C:14,-68,2014-05-31 09:33:38.851,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,56762,64482,-77
Force,C6:BD:6C:38:71:A8,-75,2014-05-31 09:33:37.097,false,,0,0,0
Force,C2:84:8D:3F:ED:15,-77,2014-05-31 09:33:38.954,false,,0,0,0
Unknown,9C:A1:34:18:14:74,-83,2014-05-31 09:33:37.266,false,,0,0,0
Flex,F5:43:D9:EB:19:0B,-86,2014-05-31 09:33:22.272,false,,0,0,0
One,E6:99:EA:CB:B7:F3,-91,2014-05-31 09:33:39.160,false,,0,0,0
