DisplayName,MAC Addr,RSSI,Last Updated,iBeacon flag,Proximity UUID,major,minor,TxPower
Kontakt,C4:02:3E:D6:FB:17,-88,2014-05-28 22:15:09.320,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,29889,5977,-77
Kontakt,C0:36:4C:60:FB:7A,-92,2014-05-28 22:15:08.412,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,30854,62232,-77
Kontakt,C0:80:69:E4:96:80,-93,2014-05-28 22:15:08.712,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,58440,31656,-77
Kontakt,CB:42:69:CE:8C:14,-94,2014-05-28 22:15:09.180,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,56762,64482,-77
