DisplayName,MAC Addr,RSSI,Last Updated,iBeacon flag,Proximity UUID,major,minor,TxPower
Kontakt,CB:42:69:CE:8C:14,-78,2014-05-30 14:14:12.040,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,56762,64482,-77
Kontakt,C0:80:69:E4:96:80,-83,2014-05-30 14:14:11.790,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,58440,31656,-77
Flex,C5:30:D3:40:2F:75,-89,2014-05-30 14:14:00.482,false,,0,0,0
Kontakt,E8:66:CA:46:29:D9,-91,2014-05-30 14:14:10.452,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,49822,25644,-77
Kontakt,C0:36:4C:60:FB:7A,-91,2014-05-30 14:14:11.894,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,30854,62232,-77
Kontakt,C4:02:3E:D6:FB:17,-92,2014-05-30 14:14:11.950,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,29889,5977,-77
One,FB:0F:D4:C4:29:46,-95,2014-05-30 14:14:09.634,false,,0,0,0
