DisplayName,MAC Addr,RSSI,Last Updated,iBeacon flag,Proximity UUID,major,minor,TxPower
Kontakt,CB:42:69:CE:8C:14,-84,2014-05-30 14:13:45.438,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,56762,64482,-77
Kontakt,C0:80:69:E4:96:80,-85,2014-05-30 14:13:45.867,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,58440,31656,-77
Kontakt,C0:36:4C:60:FB:7A,-91,2014-05-30 14:13:44.906,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,30854,62232,-77
One,FB:0F:D4:C4:29:46,-91,2014-05-30 14:13:39.747,false,,0,0,0
Kontakt,C4:02:3E:D6:FB:17,-92,2014-05-30 14:13:44.953,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,29889,5977,-77
Kontakt,E8:66:CA:46:29:D9,-93,2014-05-30 14:13:45.210,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,49822,25644,-77
