DisplayName,MAC Addr,RSSI,Last Updated,iBeacon flag,Proximity UUID,major,minor,TxPower
Kontakt,C4:02:3E:D6:FB:17,-82,2014-05-29 09:31:23.317,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,29889,5977,-77
Kontakt,C0:36:4C:60:FB:7A,-86,2014-05-29 09:31:23.215,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,30854,62232,-77
Kontakt,C0:80:69:E4:96:80,-89,2014-05-29 09:31:23.589,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,58440,31656,-77
Kontakt,CB:42:69:CE:8C:14,-95,2014-05-29 09:30:31.825,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,56762,64482,-77
Kontakt,E8:66:CA:46:29:D9,-98,2014-05-29 09:31:17.812,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,49822,25644,-77
