DisplayName,MAC Addr,RSSI,Last Updated,iBeacon flag,Proximity UUID,major,minor,TxPower
Kontakt,CB:42:69:CE:8C:14,-85,2014-05-30 13:06:12.747,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,56762,64482,-77
Kontakt,C4:02:3E:D6:FB:17,-87,2014-05-30 13:06:12.381,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,29889,5977,-77
Unknown,60:03:08:B0:45:F9,-89,2014-05-30 13:06:12.322,false,,0,0,0
Kontakt,C0:36:4C:60:FB:7A,-90,2014-05-30 13:06:12.998,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,30854,62232,-77
Kontakt,E8:66:CA:46:29:D9,-91,2014-05-30 13:06:12.259,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,49822,25644,-77
Kontakt,C0:80:69:E4:96:80,-91,2014-05-30 13:06:12.467,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,58440,31656,-77
