DisplayName,MAC Addr,RSSI,Last Updated,iBeacon flag,Proximity UUID,major,minor,TxPower
Kontakt,C0:80:69:E4:96:80,-76,2014-05-29 19:46:10.530,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,58440,31656,-77
Kontakt,C0:36:4C:60:FB:7A,-81,2014-05-29 19:46:10.456,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,30854,62232,-77
Kontakt,E8:66:CA:46:29:D9,-82,2014-05-29 19:46:10.530,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,49822,25644,-77
Kontakt,C0:36:4C:60:FB:7A,-86,2014-05-29 19:46:10.835,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,30854,62232,-77
Kontakt,C4:02:3E:D6:FB:17,-89,2014-05-29 19:46:10.598,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,29889,5977,-77
