DisplayName,MAC Addr,RSSI,Last Updated,iBeacon flag,Proximity UUID,major,minor,TxPower
Kontakt,CB:42:69:CE:8C:14,-78,2014-05-30 15:52:30.197,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,56762,64482,-77
Kontakt,C4:02:3E:D6:FB:17,-83,2014-05-30 15:52:31.093,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,29889,5977,-77
Kontakt,C0:36:4C:60:FB:7A,-83,2014-05-30 15:52:31.092,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,30854,62232,-77
Kontakt,E8:66:CA:46:29:D9,-85,2014-05-30 15:52:31.036,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,49822,25644,-77
Kontakt,C0:80:69:E4:96:80,-88,2014-05-30 15:52:30.794,true,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,58440,31656,-77
Zip,F5:B5:E6:87:25:59,-89,2014-05-30 15:52:28.878,false,,0,0,0
